index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Actual Production
2706,26-02-2019,Western,1264.41,1244.56,32.68,39.38,35.58,22.72,1332.67
2707,26-02-2019,Southern,661.63,640.49,67.51,40.81,66.95,76.97,796.09
2708,26-02-2019,Eastern,504.35,485.83,,,24,29.08,528.35
2709,26-02-2019,NorthEastern,31.81,37.93,,,8.62,2.6,40.43
2710,27-02-2019,Northern,670.86,506.96,26.91,30,105.09,142.55,802.86
2711,27-02-2019,Western,1264.41,1251.32,32.68,39.44,35.58,22.01,1332.67
2712,27-02-2019,Southern,661.63,659.53,67.51,40.58,66.95,73.21,796.09
2713,27-02-2019,Eastern,504.35,473.7,,,24,28.08,528.35
2714,27-02-2019,NorthEastern,31.81,37.38,,,8.62,2.43,40.43
2715,28-02-2019,Northern,673.21,527.94,26.91,29.15,105.09,144.69,805.21
2716,28-02-2019,Western,1269.41,1277.59,32.68,39.48,35.58,21.02,1337.67
2717,28-02-2019,Southern,661.63,644.5,67.51,36.72,66.95,75.83,796.09
2718,28-02-2019,Eastern,504.35,480.02,,,24,27.21,528.35
2719,28-02-2019,NorthEastern,31.81,37.1,,,8.62,2.64,40.43
2720,01-03-2019,Northern,668.42,553.92,26.88,30.1,121.72,142.81,817.02
2721,01-03-2019,Western,1270.71,1286.4,32.6,39.45,34.47,26.28,1337.78
2722,01-03-2019,Southern,657.97,670.79,67.32,36.63,73.41,73.05,798.7
2723,01-03-2019,Eastern,504.47,464.87,,,29.22,26.8,533.69
2724,01-03-2019,NorthEastern,31.7,37.45,,,9.21,2.88,40.91
2725,02-03-2019,Northern,668.42,527.42,26.88,29.36,121.72,142.05,817.02
2726,02-03-2019,Western,1270.71,1271.02,32.6,39.4,34.47,26.49,1337.78
2727,02-03-2019,Southern,657.97,630.77,67.32,36.91,73.41,63.58,798.7
2728,02-03-2019,Eastern,504.47,466.76,,,29.22,25.35,533.69
2729,02-03-2019,NorthEastern,31.7,38.17,,,9.21,3.06,40.91
2730,03-03-2019,Northern,668.42,465.57,26.88,29.68,121.72,136.91,817.02
2731,03-03-2019,Western,1270.71,1235.12,32.6,39.36,34.47,31.62,1337.78
2732,03-03-2019,Southern,657.97,629.83,67.32,37.04,73.41,59.19,798.7
2733,03-03-2019,Eastern,504.47,475.35,,,29.22,25.05,533.69
2734,03-03-2019,NorthEastern,31.7,37.3,,,9.21,3.78,40.91
2735,04-03-2019,Northern,669.28,487.66,26.88,30.74,121.72,141.53,817.88
2736,04-03-2019,Western,1270.71,1249.82,32.6,39.31,34.47,35.43,1337.78
2737,04-03-2019,Southern,657.97,672.94,67.32,37.04,73.41,63.56,798.7
2738,04-03-2019,Eastern,504.47,479.64,,,29.22,25.13,533.69
2739,04-03-2019,NorthEastern,31.7,36.08,,,9.21,3.35,40.91
2740,05-03-2019,Northern,669.28,502.11,26.88,30.74,121.72,140.05,817.88
2741,05-03-2019,Western,1270.71,1282.53,32.6,39.33,34.47,38.61,1337.78
2742,05-03-2019,Southern,657.97,673.52,67.32,37.07,73.41,58.3,798.7
2743,05-03-2019,Eastern,504.47,492.45,,,29.22,29.79,533.69
2744,05-03-2019,NorthEastern,31.7,37.14,,,9.21,3.83,40.91
2745,06-03-2019,Northern,671.43,525.3,26.88,31.04,121.72,138.83,820.03
2746,06-03-2019,Western,1270.71,1289.83,32.6,39.32,34.47,39.21,1337.78
2747,06-03-2019,Southern,657.97,677.88,67.32,35.83,73.41,60.35,798.7
2748,06-03-2019,Eastern,504.47,490.23,,,29.22,33.22,533.69
2749,06-03-2019,NorthEastern,31.7,36.81,,,9.21,3.64,40.91
2750,07-03-2019,Northern,668.95,553.11,26.88,31.06,121.72,139.14,817.55
2751,07-03-2019,Western,1270.71,1300.96,32.6,39.36,34.47,39.26,1337.78
2752,07-03-2019,Southern,657.97,681.83,67.32,32.53,73.41,70.05,798.7
2753,07-03-2019,Eastern,504.47,502.32,,,29.22,30.57,533.69
2754,07-03-2019,NorthEastern,31.7,31.51,,,9.21,3.33,40.91
2755,08-03-2019,Northern,669.81,552.36,26.88,30.98,121.72,135.35,818.41
2756,08-03-2019,Western,1270.71,1297.64,32.6,39.27,34.47,38.76,1337.78
2757,08-03-2019,Southern,657.97,671.8,67.32,33.69,73.41,80.13,798.7
2758,08-03-2019,Eastern,504.47,493.33,,,29.22,30.45,533.69
2759,08-03-2019,NorthEastern,31.7,31.08,,,9.21,3.54,40.91
2760,09-03-2019,Northern,669.81,553.17,26.88,30.91,121.72,135.11,818.41
2761,09-03-2019,Western,1270.71,1281.24,32.6,39.33,34.47,35.35,1337.78
2762,09-03-2019,Southern,657.97,670.04,67.32,33.02,73.41,78.66,798.7
2763,09-03-2019,Eastern,504.47,501.3,,,29.22,35.73,533.69
2764,09-03-2019,NorthEastern,31.7,28.92,,,9.21,3.85,40.91
2765,10-03-2019,Northern,669.81,541.58,26.88,30.96,121.72,132.47,818.41
2766,10-03-2019,Western,1270.71,1272.54,32.6,39.36,34.47,29.16,1337.78
2767,10-03-2019,Southern,657.97,654.47,67.32,32.37,73.41,60.36,798.7
2768,10-03-2019,Eastern,504.47,518.35,,,29.22,30.16,533.69
2769,10-03-2019,NorthEastern,31.7,37.1,,,9.21,3.2,40.91
2770,11-03-2019,Northern,669.81,555.94,26.88,31.2,121.72,137.15,818.41
2771,11-03-2019,Western,1270.71,1290.87,32.6,39.32,34.47,35.04,1337.78
2772,11-03-2019,Southern,666.68,674.99,67.32,33.69,73.41,70.63,807.41
2773,11-03-2019,Eastern,504.47,538.01,,,29.22,36.34,533.69
2774,11-03-2019,NorthEastern,31.7,38.97,,,9.21,3.18,40.91
2775,12-03-2019,Northern,669.81,573.33,26.88,31.12,121.72,141.25,818.41
2776,12-03-2019,Western,1270.71,1301.76,32.6,39.36,34.47,30.94,1337.78
2777,12-03-2019,Southern,678.58,691.11,67.32,31.97,73.41,64.85,819.31
2778,12-03-2019,Eastern,504.47,540.64,,,29.22,37.34,533.69
2779,12-03-2019,NorthEastern,31.7,38.97,,,9.21,3,40.91
2780,13-03-2019,Northern,665.93,581.45,26.88,31.18,121.72,139.67,814.53
2781,13-03-2019,Western,1273.92,1298.01,32.6,39.31,34.47,32.08,1340.99
2782,13-03-2019,Southern,678.58,683.79,67.32,32.09,73.41,69.52,819.31
2783,13-03-2019,Eastern,504.47,535.98,,,29.22,37.1,533.69
2784,13-03-2019,NorthEastern,31.7,37.75,,,9.21,3.58,40.91
2785,14-03-2019,Northern,654.78,559.54,26.88,31.2,121.72,140.21,803.38
2786,14-03-2019,Western,1273.92,1288.95,32.6,39.3,34.47,32.69,1340.99
2787,14-03-2019,Southern,678.58,683.74,67.32,31.16,73.41,68.86,819.31
2788,14-03-2019,Eastern,504.47,533.24,,,29.22,34.81,533.69
2789,14-03-2019,NorthEastern,31.7,38.71,,,9.21,3.04,40.91
2790,15-03-2019,Northern,654.91,549.26,26.88,31.39,121.72,145.29,803.51
2791,15-03-2019,Western,1269.92,1266.81,32.6,39.29,34.47,37.94,1336.99
2792,15-03-2019,Southern,678.58,674.22,67.32,33.23,73.41,67.98,819.31
2793,15-03-2019,Eastern,504.47,505.18,,,29.22,39.61,533.69
2794,15-03-2019,NorthEastern,31.7,37.69,,,9.21,3.43,40.91
2795,16-03-2019,Northern,654.91,549.12,26.88,35.46,121.72,149.54,803.51
2796,16-03-2019,Western,1267.32,1275.73,32.6,39.37,34.47,23.38,1334.39
2797,16-03-2019,Southern,678.58,660.26,67.32,33.6,73.41,66.29,819.31
2798,16-03-2019,Eastern,508.97,504.24,,,29.22,38.02,538.19
2799,16-03-2019,NorthEastern,31.7,36.52,,,9.21,3.32,40.91
2800,17-03-2019,Northern,654.91,535.9,26.88,35.99,121.72,138.01,803.51
2801,17-03-2019,Western,1267.32,1263.19,32.6,39.35,34.47,21.05,1334.39
2802,17-03-2019,Southern,678.58,649.84,67.32,33.64,73.41,56.39,819.31
2803,17-03-2019,Eastern,508.97,477.01,,,29.22,32.7,538.19
2804,17-03-2019,NorthEastern,31.7,37.07,,,9.21,3.1,40.91
2805,18-03-2019,Northern,660.12,576.89,26.88,30.85,121.72,139.35,808.72
2806,18-03-2019,Western,1267.32,1295.64,32.6,38.95,34.47,38.45,1334.39
2807,18-03-2019,Southern,678.58,674.26,67.32,32.55,73.41,77.85,819.31
2808,18-03-2019,Eastern,508.97,491.13,,,29.22,27.3,538.19
2809,18-03-2019,NorthEastern,31.7,37.35,,,9.21,2.81,40.91
2810,19-03-2019,Northern,669.66,558.58,26.88,30.18,121.72,142.42,818.26
2811,19-03-2019,Western,1267.32,1324.23,32.6,38.76,34.47,31.03,1334.39
2812,19-03-2019,Southern,678.58,695.98,67.32,32.7,73.41,82.64,819.31
2813,19-03-2019,Eastern,508.97,515.35,,,29.22,34.07,538.19
2814,19-03-2019,NorthEastern,31.7,37.07,,,9.21,2.73,40.91
2815,20-03-2019,Northern,659.45,541.64,26.88,30.31,121.72,146.7,808.05
2816,20-03-2019,Western,1251.69,1282.07,32.6,38.54,34.47,26.14,1318.76
2817,20-03-2019,Southern,678.58,713.96,67.32,33.12,73.41,76.03,819.31
2818,20-03-2019,Eastern,508.97,517.3,,,29.22,36.43,538.19
2819,20-03-2019,NorthEastern,31.7,36.66,,,9.21,3.09,40.91
2820,21-03-2019,Northern,658.49,476.27,26.88,30.56,121.72,146.88,807.09
2821,21-03-2019,Western,1251.69,1125.15,32.6,38.84,34.47,20.72,1318.76
2822,21-03-2019,Southern,678.58,677.36,67.32,32.99,73.41,65.34,819.31
2823,21-03-2019,Eastern,508.97,465.95,,,29.22,30,538.19
2824,21-03-2019,NorthEastern,31.7,36.63,,,9.21,3.17,40.91
2825,22-03-2019,Northern,658.49,495.12,26.88,30.41,121.72,143.7,807.09
2826,22-03-2019,Western,1251.69,1184.93,32.6,39.09,34.47,28.2,1318.76
2827,22-03-2019,Southern,678.58,701.8,67.32,33.14,73.41,74.16,819.31
2828,22-03-2019,Eastern,500.87,495.87,,,29.22,30.09,530.09
2829,22-03-2019,NorthEastern,31.7,37.12,,,9.21,3.15,40.91
2830,23-03-2019,Northern,660.84,520.2,26.88,30.42,121.72,142.52,809.44
2831,23-03-2019,Western,1251.69,1263.81,32.6,39.29,34.47,26,1318.76
2832,23-03-2019,Southern,678.58,709.13,67.32,33.18,73.41,74.2,819.31
2833,23-03-2019,Eastern,500.87,515.41,,,29.22,32.41,530.09
2834,23-03-2019,NorthEastern,31.7,37.94,,,9.21,3.42,40.91
2835,24-03-2019,Northern,660.84,518.01,26.88,30.33,121.72,142.28,809.44
2836,24-03-2019,Western,1251.69,1295.12,32.6,39.3,34.47,22.38,1318.76
2837,24-03-2019,Southern,678.58,667.5,67.32,35.52,73.41,66.57,819.31
2838,24-03-2019,Eastern,500.87,517,,,29.22,30.84,530.09
2839,24-03-2019,NorthEastern,31.7,39.07,,,9.21,3.1,40.91
2840,25-03-2019,Northern,660.84,526.18,26.88,30.42,121.72,137.87,809.44
2841,25-03-2019,Western,1251.69,1337.26,32.6,39.34,34.47,25.43,1318.76
2842,25-03-2019,Southern,678.58,676.6,67.32,37.95,73.41,78.25,819.31
2843,25-03-2019,Eastern,500.87,539.14,,,29.22,36.1,530.09
2844,25-03-2019,NorthEastern,31.7,39.06,,,9.21,3,40.91
2845,26-03-2019,Northern,669.84,528.68,26.88,30.49,121.72,141.09,818.44
2846,26-03-2019,Western,1251.69,1338.05,32.6,39.36,34.47,32.56,1318.76
2847,26-03-2019,Southern,678.58,693.39,67.32,39.09,73.41,84.57,819.31
2848,26-03-2019,Eastern,500.87,520.41,,,29.22,37.19,530.09
2849,26-03-2019,NorthEastern,31.7,37.77,,,9.21,3.03,40.91
2850,27-03-2019,Northern,669.84,571.91,26.88,30.51,121.72,148.91,818.44
2851,27-03-2019,Western,1251.69,1335.04,32.6,39.37,34.47,31.17,1318.76
2852,27-03-2019,Southern,678.58,699.81,67.32,39.15,73.41,88.45,819.31
2853,27-03-2019,Eastern,500.87,536.15,,,29.22,39.76,530.09
2854,27-03-2019,NorthEastern,31.7,38.84,,,9.21,3.09,40.91
2855,28-03-2019,Northern,678.07,575.34,26.88,30.24,121.72,162.7,826.67
2856,28-03-2019,Western,1251.69,1349.75,32.6,39.3,34.47,25.59,1318.76
2857,28-03-2019,Southern,678.58,693.26,67.32,39.39,73.41,89.66,819.31
2858,28-03-2019,Eastern,500.87,548.13,,,29.22,42.03,530.09
2859,28-03-2019,NorthEastern,31.7,38.19,,,9.21,3.24,40.91
2860,29-03-2019,Northern,678.07,610.26,26.88,30.15,121.72,173.88,826.67
2861,29-03-2019,Western,1251.69,1325.19,32.6,39.3,34.47,29.68,1318.76
2862,29-03-2019,Southern,678.58,704.33,67.32,35.72,73.41,90.65,819.31
2863,29-03-2019,Eastern,500.87,562.16,,,29.22,36.66,530.09
2864,29-03-2019,NorthEastern,31.7,38.76,,,9.21,3.39,40.91
2865,30-03-2019,Northern,678.07,626.76,26.88,29.93,121.72,180.18,826.67
2866,30-03-2019,Western,1251.69,1317.86,32.6,39.22,34.47,29.65,1318.76
2867,30-03-2019,Southern,678.58,704.9,67.32,34.53,73.41,81.71,819.31
2868,30-03-2019,Eastern,500.87,547.65,,,29.22,43.52,530.09
2869,30-03-2019,NorthEastern,31.7,39.31,,,9.21,2.58,40.91
2870,31-03-2019,Northern,678.07,537.38,26.88,30.15,121.72,182.79,826.67
2871,31-03-2019,Western,1251.69,1265.35,32.6,39.3,34.47,28.45,1318.76
2872,31-03-2019,Southern,678.58,659.77,67.32,34.02,73.41,62.84,819.31
2873,31-03-2019,Eastern,500.87,515.08,,,29.22,49.77,530.09
2874,31-03-2019,NorthEastern,31.7,33.95,,,9.21,2.46,40.91
2875,01-04-2019,Northern,694.44,566.18,27.03,30.3,159.92,181.17,881.39
2876,01-04-2019,Western,1391.86,1325.99,32.64,39.28,32.58,34.93,1457.08
2877,01-04-2019,Southern,666.7,668.2,62.76,33.63,76.25,78.51,805.71
2878,01-04-2019,Eastern,526.12,492.91,,,44.26,47.67,570.38
2879,01-04-2019,NorthEastern,36.46,34.88,,,4.92,2.79,41.38
2880,02-04-2019,Northern,694.44,589.45,27.03,30.24,159.92,181.13,881.39
2881,02-04-2019,Western,1387.86,1363.33,32.64,39.22,32.58,28.19,1453.08
2882,02-04-2019,Southern,666.7,675.02,62.76,33.71,76.25,89.51,805.71
2883,02-04-2019,Eastern,526.12,552.31,,,44.26,42.88,570.38
2884,02-04-2019,NorthEastern,36.46,40.31,,,4.92,2.83,41.38
2885,03-04-2019,Northern,691.8,587.61,27.03,30.11,159.92,195.95,878.75
2886,03-04-2019,Western,1387.86,1391.56,32.64,39.24,32.58,30.04,1453.08
2887,03-04-2019,Southern,666.7,687.85,62.76,33.71,76.25,90.42,805.71
2888,03-04-2019,Eastern,526.12,575.35,,,44.26,39.92,570.38
2889,03-04-2019,NorthEastern,36.46,32.77,,,4.92,4.4,41.38
2890,04-04-2019,Northern,691.8,593.94,27.03,29.9,159.92,187.49,878.75
2891,04-04-2019,Western,1387.86,1404.63,32.64,39.21,32.58,28.08,1453.08
2892,04-04-2019,Southern,666.7,705.27,62.76,33.8,76.25,74.86,805.71
2893,04-04-2019,Eastern,526.12,580.84,,,44.26,40.36,570.38
2894,04-04-2019,NorthEastern,36.46,36.89,,,4.92,4.08,41.38
2895,05-04-2019,Northern,684.12,580.72,27.03,29.64,159.92,188.76,871.07
2896,05-04-2019,Western,1387.86,1383.36,32.64,39.18,32.58,26.59,1453.08
2897,05-04-2019,Southern,666.7,685.75,62.76,33.83,76.25,67.44,805.71
2898,05-04-2019,Eastern,526.12,567.83,,,44.26,37.6,570.38
2899,05-04-2019,NorthEastern,36.46,30.93,,,4.92,4.05,41.38
2900,06-04-2019,Northern,684.12,565.31,27.03,29.84,159.92,204.91,871.07
2901,06-04-2019,Western,1387.86,1365.73,32.64,39.15,32.58,26.78,1453.08
2902,06-04-2019,Southern,666.7,675.43,62.76,33.84,76.25,63.63,805.71
2903,06-04-2019,Eastern,515.16,520.82,,,44.26,37.5,559.42
2904,06-04-2019,NorthEastern,36.46,31.36,,,4.92,3.37,41.38
2905,07-04-2019,Northern,684.12,505.06,27.03,29.88,159.92,206.46,871.07
2906,07-04-2019,Western,1387.86,1297.83,32.64,39.21,32.58,15.64,1453.08
2907,07-04-2019,Southern,666.7,635.79,62.76,34.7,76.25,51.8,805.71
2908,07-04-2019,Eastern,515.16,456.77,,,44.26,36.31,559.42
2909,07-04-2019,NorthEastern,36.46,28.85,,,4.92,3.3,41.38
2910,08-04-2019,Northern,684.12,536.23,27.03,30.01,159.92,199.85,871.07
2911,08-04-2019,Western,1387.86,1333.81,32.64,39.14,32.58,27.77,1453.08
2912,08-04-2019,Southern,666.7,668.28,62.76,34.7,76.25,69.07,805.71
2913,08-04-2019,Eastern,515.16,507.71,,,44.26,33.4,559.42
2914,08-04-2019,NorthEastern,36.46,32.62,,,4.92,3.24,41.38
2915,09-04-2019,Northern,684.16,561.94,27.03,29.86,159.92,190.1,871.11
2916,09-04-2019,Western,1387.86,1354.22,32.64,37.86,32.58,29.67,1453.08
2917,09-04-2019,Southern,666.7,670.17,62.76,34.45,76.25,69.21,805.71
2918,09-04-2019,Eastern,515.16,509.04,,,44.26,40.27,559.42
2919,09-04-2019,NorthEastern,36.46,36.98,,,4.92,3.05,41.38
2920,10-04-2019,Northern,684.16,600.1,27.03,29.81,159.92,194.97,871.11
2921,10-04-2019,Western,1387.86,1388.26,32.64,36.53,32.58,33.64,1453.08
2922,10-04-2019,Southern,662.8,689.98,62.76,35.57,76.25,79.99,801.81
2923,10-04-2019,Eastern,515.16,492,,,44.26,49.6,559.42
2924,10-04-2019,NorthEastern,36.46,42.33,,,4.92,3.65,41.38
2925,11-04-2019,Northern,698.95,621.81,27.03,29.55,159.92,202.23,885.9
2926,11-04-2019,Western,1387.86,1389.75,32.64,36.75,32.58,41.17,1453.08
2927,11-04-2019,Southern,662.8,676.23,62.76,36.85,76.25,74.63,801.81
2928,11-04-2019,Eastern,515.16,516.4,,,44.26,49.5,559.42
2929,11-04-2019,NorthEastern,36.46,43.61,,,4.92,3.86,41.38
2930,12-04-2019,Northern,698.95,609.79,27.03,27.74,159.92,208.85,885.9
2931,12-04-2019,Western,1387.86,1383.52,32.64,37.44,32.58,50.03,1453.08
2932,12-04-2019,Southern,662.8,699.97,62.76,34.06,76.25,76.07,801.81
2933,12-04-2019,Eastern,515.16,520.26,,,44.26,53.07,559.42
2934,12-04-2019,NorthEastern,36.46,44.76,,,4.92,3.05,41.38
2935,13-04-2019,Northern,700.17,600.55,27.03,30.03,159.92,199.5,887.12
2936,13-04-2019,Western,1387.86,1386.57,32.64,37.76,32.58,37.47,1453.08
2937,13-04-2019,Southern,662.8,679.88,62.76,33.65,76.25,78.19,801.81
2938,13-04-2019,Eastern,515.16,531.81,,,44.26,46.1,559.42
2939,13-04-2019,NorthEastern,36.46,42.15,,,4.92,2.99,41.38
2940,14-04-2019,Northern,700.21,581.12,27.03,30,159.92,197.14,887.16
2941,14-04-2019,Western,1387.86,1360.29,32.64,37.84,32.58,25.72,1453.08
2942,14-04-2019,Southern,662.8,651.75,62.76,36.34,76.25,71.52,801.81
2943,14-04-2019,Eastern,515.16,499.49,,,44.26,54.7,559.42
2944,14-04-2019,NorthEastern,36.46,42.01,,,4.92,3.09,41.38
2945,15-04-2019,Northern,697.43,584.83,27.03,34.38,159.92,194.36,884.38
2946,15-04-2019,Western,1386.79,1359.92,32.64,37.8,32.58,36.31,1452.01
2947,15-04-2019,Southern,662.8,678.68,62.76,38.23,76.25,65.85,801.81
2948,15-04-2019,Eastern,515.16,524.77,,,44.26,50.42,559.42
2949,15-04-2019,NorthEastern,36.46,41.55,,,4.92,4.01,41.38
2950,16-04-2019,Northern,697.43,481.25,27.03,35.83,159.92,208.94,884.38
2951,16-04-2019,Western,1386.79,1294.81,32.64,36.16,32.58,27.54,1452.01
2952,16-04-2019,Southern,662.8,665.73,62.76,37.79,76.25,78.7,801.81
2953,16-04-2019,Eastern,511.16,509.51,,,44.26,44.36,555.42
2954,16-04-2019,NorthEastern,36.46,38.7,,,4.92,5.46,41.38
2955,17-04-2019,Northern,697.43,455.21,27.03,36.14,159.92,205.12,884.38
2956,17-04-2019,Western,1386.79,1195.85,32.64,37.45,32.58,35.59,1452.01
2957,17-04-2019,Southern,662.8,666,62.76,38.04,76.25,69.09,801.81
2958,17-04-2019,Eastern,511.16,473.22,,,44.26,54.68,555.42
2959,17-04-2019,NorthEastern,36.46,36.05,,,4.92,4.1,41.38
2960,18-04-2019,Northern,694.78,467.91,27.03,35.05,159.92,197.93,881.73
2961,18-04-2019,Western,1386.79,1264.26,32.64,38.93,32.58,42.9,1452.01
2962,18-04-2019,Southern,662.8,621.8,62.76,38.98,76.25,47.48,801.81
2963,18-04-2019,Eastern,511.16,501.6,,,44.26,53.27,555.42
2964,18-04-2019,NorthEastern,36.46,39.83,,,4.92,4.23,41.38
2965,19-04-2019,Northern,694.78,504.66,27.03,35.29,159.92,187.73,881.73
2966,19-04-2019,Western,1386.79,1312.25,32.64,38.93,32.58,32.41,1452.01
2967,19-04-2019,Southern,662.8,586.89,62.76,39.01,76.25,57.69,801.81
2968,19-04-2019,Eastern,511.16,525.69,,,44.26,46.71,555.42
2969,19-04-2019,NorthEastern,36.46,40.1,,,4.92,4.24,41.38
2970,20-04-2019,Northern,686.78,540.36,27.03,35.66,159.92,189,873.73
2971,20-04-2019,Western,1386.79,1333.1,32.64,38.97,32.58,43.82,1452.01
2972,20-04-2019,Southern,666.7,595.44,62.76,38.07,76.25,62.84,805.71
2973,20-04-2019,Eastern,511.16,531.2,,,44.26,42.95,555.42
2974,20-04-2019,NorthEastern,36.46,31.1,,,4.92,4.35,41.38
2975,21-04-2019,Northern,688.88,527.08,27.03,35.62,159.92,196.97,875.83
2976,21-04-2019,Western,1386.79,1308.81,32.64,37.45,32.58,33.19,1452.01
2977,21-04-2019,Southern,677.3,560.37,62.76,38.08,76.25,51.86,816.31
2978,21-04-2019,Eastern,511.16,510.14,,,44.26,39.73,555.42
2979,21-04-2019,NorthEastern,36.46,40.15,,,4.92,4.3,41.38
2980,22-04-2019,Northern,688.88,563.39,27.03,35.34,159.92,206.68,875.83
2981,22-04-2019,Western,1385.69,1347.42,32.64,35.38,32.58,41.08,1450.91
2982,22-04-2019,Southern,677.3,608.82,62.76,37.88,76.25,64.66,816.31
2983,22-04-2019,Eastern,511.16,523.04,,,44.26,38.19,555.42
2984,22-04-2019,NorthEastern,36.46,38.16,,,4.92,5.75,41.38
2985,23-04-2019,Northern,688.88,574.23,27.03,33.42,159.92,235.02,875.83
2986,23-04-2019,Western,1385.69,1363.09,32.64,35.29,32.58,36.47,1450.91
2987,23-04-2019,Southern,677.3,619.98,62.76,37.8,76.25,59.74,816.31
2988,23-04-2019,Eastern,511.16,519.06,,,44.26,46.29,555.42
2989,23-04-2019,NorthEastern,36.46,39.19,,,4.92,5.2,41.38
2990,24-04-2019,Northern,689.08,594.36,27.03,30.16,159.92,245.57,876.03
2991,24-04-2019,Western,1385.69,1398.37,32.64,35.27,32.58,40.65,1450.91
2992,24-04-2019,Southern,677.3,648.12,62.76,37.6,76.25,71.37,816.31
2993,24-04-2019,Eastern,511.16,531.87,,,44.26,53.87,555.42
2994,24-04-2019,NorthEastern,36.46,38.65,,,4.92,5.35,41.38
2995,25-04-2019,Northern,694.08,638.18,27.03,30.55,159.92,254.31,881.03
2996,25-04-2019,Western,1385.69,1430.44,32.64,35.53,32.58,49.25,1450.91
2997,25-04-2019,Southern,677.3,659.62,62.76,39.45,76.25,74.35,816.31
2998,25-04-2019,Eastern,511.16,556.14,,,44.26,59.11,555.42
2999,25-04-2019,NorthEastern,36.46,37.35,,,4.92,5.29,41.38
3000,26-04-2019,Northern,693.92,646.25,27.03,29.63,159.92,271.02,880.87
3001,26-04-2019,Western,1389.89,1437.52,32.64,35.44,32.58,42.27,1455.11
3002,26-04-2019,Southern,667.02,673.33,62.76,38.28,76.25,82.79,806.03
3003,26-04-2019,Eastern,511.16,541.47,,,44.26,61.46,555.42
3004,26-04-2019,NorthEastern,36.46,41.26,,,4.92,4.38,41.38
3005,27-04-2019,Northern,696.7,656.81,27.03,30.75,159.92,260.91,883.65
3006,27-04-2019,Western,1389.89,1413.04,32.64,37.66,32.58,39.1,1455.11
3007,27-04-2019,Southern,667.02,659.28,62.76,38.5,76.25,83.37,806.03
3008,27-04-2019,Eastern,511.16,535.03,,,44.26,62.28,555.42
3009,27-04-2019,NorthEastern,36.46,39.54,,,4.92,4.75,41.38
3010,28-04-2019,Northern,693.89,641.73,27.03,30.69,159.92,262.58,880.84
3011,28-04-2019,Western,1389.89,1366.77,32.64,38.43,32.58,33.94,1455.11
3012,28-04-2019,Southern,667.02,615.63,62.76,38.54,76.25,63.74,806.03
3013,28-04-2019,Eastern,511.16,523.95,,,44.26,66.48,555.42
3014,28-04-2019,NorthEastern,36.46,39.41,,,4.92,3.44,41.38
3015,29-04-2019,Northern,693.89,657.87,27.03,30.77,159.92,265.62,880.84
3016,29-04-2019,Western,1389.89,1414.7,32.64,38.85,32.58,22.54,1455.11
3017,29-04-2019,Southern,667.02,623.83,62.76,38.7,76.25,67.75,806.03
3018,29-04-2019,Eastern,511.16,552.14,,,44.26,66.36,555.42
3019,29-04-2019,NorthEastern,36.46,39.61,,,4.92,7.93,41.38
3020,30-04-2019,Northern,693.79,658.14,27.03,30.7,159.92,266.58,880.74
3021,30-04-2019,Western,1385.55,1372.93,32.64,38.85,32.58,29.82,1450.77
3022,30-04-2019,Southern,667.02,575.48,62.76,38.77,76.25,52.64,806.03
3023,30-04-2019,Eastern,511.16,530.5,,,44.26,68.71,555.42
3024,30-04-2019,NorthEastern,36.46,39.33,,,4.92,9.89,41.38
3025,01-05-2019,Northern,706.34,637.72,26.92,30.75,260.86,259.84,994.12
3026,01-05-2019,Western,1395.69,1299.28,32.6,39.2,25.19,37.48,1453.48
3027,01-05-2019,Southern,662.73,507.89,62.69,38.36,65.75,43.4,791.17
3028,01-05-2019,Eastern,516.85,482.56,,,53.28,74.23,570.13
3029,01-05-2019,NorthEastern,36.63,37.91,,,13.71,13.9,50.34
3030,02-05-2019,Northern,706.34,622.64,26.92,30.82,260.86,243.42,994.12
3031,02-05-2019,Western,1394.89,1312.99,32.6,39.2,25.19,53.1,1452.68
3032,02-05-2019,Southern,662.73,500.51,62.69,38.66,65.75,68.3,791.17
3033,02-05-2019,Eastern,516.85,494.04,,,53.28,72.42,570.13
3034,02-05-2019,NorthEastern,36.63,37.85,,,13.71,18.76,50.34
3035,03-05-2019,Northern,709.86,571.97,26.92,30.01,260.86,239.01,997.64
3036,03-05-2019,Western,1394.21,1294.41,32.6,39.08,25.19,52.58,1452
3037,03-05-2019,Southern,662.73,534.34,62.69,38.59,65.75,70.43,791.17
3038,03-05-2019,Eastern,516.85,441.69,,,53.28,61.34,570.13
3039,03-05-2019,NorthEastern,36.63,39.05,,,13.71,14.91,50.34
3040,04-05-2019,Northern,707.89,607.15,26.92,30.93,260.86,228.81,995.67
3041,04-05-2019,Western,1394.21,1311.74,32.6,38.97,25.19,55.2,1452
3042,04-05-2019,Southern,662.73,550.12,62.69,38.8,65.75,75.13,791.17
3043,04-05-2019,Eastern,528.1,418.03,,,53.28,67.41,581.38
3044,04-05-2019,NorthEastern,36.63,33.94,,,13.71,16.08,50.34
3045,05-05-2019,Northern,707.89,605.46,26.92,30.99,260.86,228,995.67
3046,05-05-2019,Western,1394.21,1310.88,32.6,39.12,25.19,46.89,1452
